File: output/derived/sce/sce_credit.csv

MD5 hash: ef29c3752755be80bb5e8e5b7b650d53

Keys: sce_id date 

                                                         type   count  unique            mean            std             min             50%             max
refi_decreased_mortgage_term                          float64     143     nan           0.266          0.443           0.000           0.000           1.000
refi_switched_adjustable_to_fixed                     float64     143     nan           0.035          0.184           0.000           0.000           1.000
refi_switched_fixed_to_adjustable                     float64     143     nan           0.021          0.144           0.000           0.000           1.000
refi_switched_mortgage_servicer                       float64     143     nan           0.350          0.478           0.000           0.000           1.000
refi_caused_other_outcome                             float64     143     nan           0.091          0.288           0.000           0.000           1.000
account_closed_voluntary                                int64  35,306     nan           0.149          0.356           0.000           0.000           1.000
account_closed_lender                                   int64  35,306     nan           0.045          0.208           0.000           0.000           1.000
no_credit_reductions                                    int64  35,306     nan           0.555          0.497           0.000           1.000           1.000
credit_limit_lowered                                  float64  33,927     nan           0.281          0.450           0.000           0.000           1.000
has_late_loan_payments_30_days                        float64  32,116     nan           0.064          0.245           0.000           0.000           1.000
has_late_loan_payments_90_days                        float64   1,967     nan           0.449          0.498           0.000           0.000           1.000
randomize_likelihood_question                         float64  22,533     nan           1.505          0.500           1.000           2.000           2.000
want_but_no_apply_credit_card                         float64   2,321     nan           0.390          0.488           0.000           0.000           1.000
want_but_no_apply_mortgage                            float64   2,793     nan           0.270          0.444           0.000           0.000           1.000
want_but_no_apply_auto_loan                           float64   2,405     nan           0.248          0.432           0.000           0.000           1.000
want_but_no_apply_increase_credit_limit               float64   1,554     nan           0.287          0.453           0.000           0.000           1.000
want_but_no_apply_increase_loan_limit                 float64     974     nan           0.192          0.394           0.000           0.000           1.000
want_but_no_apply_refi                                float64     764     nan           0.296          0.457           0.000           0.000           1.000
want_but_no_apply_student_loan                        float64   2,802     nan           0.050          0.219           0.000           0.000           1.000
want_but_no_apply_none                                float64   3,215     nan           0.374          0.484           0.000           0.000           1.000
likelihood_request_granted_credit_card                float64  15,478     nan          77.888         32.780           0.000          99.000         100.000
likelihood_request_granted_mortgage                   float64  10,392     nan          68.202         35.883           0.000          80.000         100.000
likelihood_request_granted_auto_loan                  float64  14,500     nan          79.549         31.552           0.000          99.000         100.000
likelihood_request_granted_increase_credit_limit      float64   8,432     nan          67.267         34.039           0.000          80.000         100.000
likelihood_request_granted_increase_loan_limit        float64   1,914     nan          53.438         37.323           0.000          50.000         100.000
likelihood_request_granted_refi                       float64   6,108     nan          74.888         32.509           0.000          90.000         100.000
likelihood_request_granted_student_loan               float64   4,713     nan          66.680         39.124           0.000          90.000         100.000
credit_score                                          float64  33,857     nan           4.075          1.416           1.000           5.000           6.000
last_checked_credit_score                             float64  32,811     nan           2.449          1.562           1.000           2.000           6.000
likelihood_has_unexpected_expense                     float64  28,286     nan          34.834         29.521           0.000          29.000         100.000
likelihood_afford_unexpected_expense                  float64  28,280     nan          73.390         35.768           0.000          97.000         100.000
likelihood_apply_credit_card_1y_ahead                 float64  35,300     nan          23.038         22.171           0.000          10.000         100.000
likelihood_apply_home_loan_1y_ahead                   float64  35,295     nan          19.326         20.704           0.000          10.000         100.000
likelihood_apply_auto_loan_1y_ahead                   float64  35,295     nan          23.131         22.509           0.000          10.000         100.000
likelihood_increase_loan_limit_1y_ahead               float64  26,410     nan          19.717         19.861           0.000          10.000         100.000
likelihood_increase_credit_limit_1y_ahead             float64   7,712     nan          16.877         17.162           0.000          10.000          90.000
likelihood_refi_1y_ahead                              float64  17,628     nan          20.989         21.287           0.000          10.000         100.000
likelihood_apply_student_loan_1y_ahead                float64  35,293     nan          14.567         16.495           0.000          10.000         100.000
request_granted_refi                                  float64   2,127     nan           0.853          0.354           0.000           1.000           1.000
reason_no_apply_credit_card_approval                  float64   8,801     nan           0.131          0.337           0.000           0.000           1.000
reason_no_apply_mortgage_approval                     float64  15,159     nan           0.066          0.248           0.000           0.000           1.000
reason_no_apply_auto_loan_approval                    float64  13,041     nan           0.068          0.252           0.000           0.000           1.000
reason_no_apply_increase_loan_limit_approval          float64   4,343     nan           0.090          0.286           0.000           0.000           1.000
reason_no_apply_increase_credit_limit_approval        float64  11,012     nan           0.084          0.278           0.000           0.000           1.000
reason_no_apply_refi_approval                         float64   7,595     nan           0.079          0.270           0.000           0.000           1.000
reason_no_apply_student_loan_approval                 float64  16,651     nan           0.011          0.105           0.000           0.000           1.000
reason_unlikely_apply_satisfied                       float64  35,306     nan           0.828          0.378           0.000           1.000           1.000
reason_unlikely_apply_time                            float64  35,306     nan           0.032          0.175           0.000           0.000           1.000
reason_unlikely_apply_knowledge                       float64  35,306     nan           0.008          0.087           0.000           0.000           1.000
reason_unlikely_apply_rates                           float64  35,306     nan           0.089          0.285           0.000           0.000           1.000
reason_unlikely_apply_approval                        float64  35,306     nan           0.101          0.301           0.000           0.000           1.000

